id;шаҳр;навъ;ном;СУРОҒА — ҳамин ҷо нависед
168ccae3-0c8f-4369-857d-0dd2f9ba3948;Роғун;Коллеҷ;Коллеҷи тиббии "Оби Гарм"-и шаҳри Роғун (ғайридавлатӣ);
bad66802-155b-4955-81be-a505cc775bd2;Рӯдакӣ;Коллеҷ;Коллеҷи техникию омӯзгории ноҳияи Рӯдакӣ;
5cb024fe-1092-4913-8358-95d471b54b52;Рӯдакӣ;Коллеҷ;Коллеҷи тиббии ноҳияи Рӯдакӣ (ғайридавлатӣ);
2b7e7be8-dfc9-4fbb-ad01-8b57ef11818a;Сангвор;Филиал;Филиали Коллеҷи тиббӣ-инноватсионии ноҳияи Панҷ (ғайридавлатӣ) дар ноҳияи Сангвор;
06f1b6a2-3b0c-4f63-ae86-b28558277bce;Темурмалик;Коллеҷ;Коллеҷи тиббии Донишгоҳи давлатии тиббии Хатлон дар деҳаи Кангурти ноҳияи Темурмалик;
6841107a-0eda-4efd-8e9b-f5d71efc929b;Тоҷикобод;Филиал;Филиали Коллеҷи тиббӣ-инноватсионии ноҳияи Панҷ (ғайридавлатӣ) дар ноҳияи Тоҷикобод;
2dd3325a-ad38-4d8c-ae68-8f22af3565fe;Турсунзода;Коллеҷ;Коллеҷи металлургии шаҳри Турсунзода;
46c06065-c75e-410f-ab47-da988a4f219f;Фархор;Коллеҷ;Коллеҷи тиббии ноҳияи Фархор (ғайридавлатӣ);
2963ae23-f283-4c7d-96c4-2d3e470bbd4b;Ховалинг;Коллеҷ;Коллеҷи тиббии ноҳияи Ховалинг (ғайридавлатӣ);
ecd90409-5c33-4524-8264-e4d455f9902b;Хуҷанд;Донишкада;Донишкадаи байналмилалии Хуҷанди Донишгоҳи байналмилалии сайёҳӣ ва соҳибкории Тоҷикистон;
3eb2f177-a52e-4be1-b54e-3c0b46858d40;Хуҷанд;Донишкада;Донишкадаи илмҳои дақиқ ва технологияи Тоҷикистон дар шаҳри Хуҷанд (ғайридавлатӣ);
32a0414b-3fe5-475c-aae5-a626673dc2af;Хуҷанд;Коллеҷ;Коллеҷи инноватсионии Хуҷанд (ғайридавлатӣ);
49686295-b9a4-48fa-851d-20d3c06657e8;Хуҷанд;Коллеҷ;Коллеҷи омӯзгории Донишгоҳи давлатии Хуҷанд ба номи академик Бобоҷон Ғафуров;
5def9131-5416-47d4-b431-f3e189f9a35c;Хуҷанд;Коллеҷ;Коллеҷи сайёҳӣ ва хизматрасониҳои иҷтимоии шаҳри Хуҷанд;
767bfc8a-6a56-4fc8-84c6-069c24a5d457;Хуҷанд;Коллеҷ;Коллеҷи тиббии шаҳри Хуҷанд ба номи Ю. Б. Исҳоқӣ;
8cf1261e-b808-4684-912e-6867f3fecf04;Шаҳритус;Коллеҷ;Коллеҷи тиббӣ-иҷтимоии ноҳияи Шаҳритус (ғайридавлатӣ);
72abac4b-dc20-4efb-86f0-4d594b6724b5;Шаҳритус;Филиал;Филиали Коллеҷи муҳандисӣ-омӯзгории шаҳри Бохтар (ғайридавлатӣ) дар ноҳияи Шаҳритус;
be866a83-9343-44ab-82d3-5842cffa8356;Қубодиён;Коллеҷ;Коллеҷи омӯзгории ноҳияи Қубодиён;
c2bf6eed-c420-42bb-be96-e9dd4f29aa99;Ҳисор;Коллеҷ;Коллеҷи омӯзгории шаҳри Ҳисор;
b8c21418-02a3-4b3c-a10f-75f1a0783248;Ҳисор;Коллеҷ;Коллеҷи тиббии шаҳри Ҳисор;
a288dd38-8d3b-4218-a2d7-1c4a86f1f79e;Ҷаббор Расулов;Коллеҷ;Коллеҷи муҳандисӣ‐омӯзгории ноҳияи Ҷаббор Расулов;
d1ac0f74-0d0e-4d21-a762-beaf1522163d;Ҷайҳун;Коллеҷ;Коллеҷи омӯзгорӣ-муҳандисии ноҳияи Ҷайҳун (ғайридавлатӣ);
07f50f5c-7c4f-4f16-b2eb-b14b6fc17699;Ҷалолиддини Балхӣ;Коллеҷ;Коллеҷи энергетикии ноҳияи Ҷалолиддини Балхӣ;
